,Population2010,MHLTH_AdjPrev,Latitude,Longitude,E_GR_AV14,E_GR_AT14,SDG_A2G14,SDG_OS15MX,P15,B15,BUCAP15,GDP15_SM,E_WR_T_14,State,INCM_CMI,DEV_CMI,E_BM_NM_LST,Cities in Urban Center_copy
87,140081,8.1,37.32711544,-121.9332989,0.306727058,1713.386499,0.042396863,23.88,4604961.31,1307.057861,283.8368823,176059000000.0,15.53486609,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto
88,100097,11.0,33.53338129,-117.1527164,0.312512539,127.6138312,0.016228866,34.36,231017.5027,84.01544952,363.6756892,8211889152.0,18.12471008,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Temecula; Murrieta
89,126683,9.9,34.18196155,-118.8641047,0.347211862,104.6186538,0.015857006,32.29,146356.3494,71.09897614,485.7935883,4934404608.0,16.24344993,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Thousand Oaks
90,145438,9.1,33.95381355,-117.9539253,0.293597406,5618.920221,0.019451497,17.76,14281719.8,4632.77002,324.3846039,564483000000.0,17.60802174,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Los Angeles; Long Beach; Anaheim; Santa Ana; Riverside; Irvine; Glendale; San Bernardino; Fontana; Huntington Beach; Ontario; Garden Grove; Rancho Cucamonga; Pomona; Corona; Torrance; Pasadena; Fullerton; Orange; Inglewood; Downey; El Monte; Costa Mesa; N
91,82922,11.7,37.73007868,-121.4314133,0.335667005,49.0142032,0.048423118,26.61,91449.60626,35.95515823,393.1690874,3221034752.0,17.04826498,CA,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Tracy
92,68549,13.3,37.50609806,-120.8528115,0.348239262,31.84357895,0.042447332,25.28,67104.15872,23.91204071,356.3421577,1798877824.0,17.77433062,CA,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Turlock
93,92428,11.7,38.34685897,-121.9694469,0.395443985,34.00857729,0.073399545,24.03,76952.19238,25.83078957,335.6732117,2309909504.0,16.96158934,CA,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Vacaville
94,115942,12.0,37.91394614,-122.0483181,0.394053769,410.9104428,0.147159756,32.26,661553.5774,279.0698853,421.8401877,23064424448.0,15.53486609,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Concord; Vallejo
95,124442,13.2,36.32739672,-119.3271873,0.315762422,71.12597596,0.010805582,30.24,117576.3356,50.23209381,427.2296252,4141723904.0,18.45828629,CA,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Visalia
96,93834,13.2,32.82158244,-117.1106947,0.272433307,1770.677568,0.00713453,34.67,4437234.748,1160.308838,261.4936788,134122000000.0,18.3498106,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Tijuana; San Diego; Chula Vista; Oceanside; Escondido; El Cajon; Vista; Poway
97,325078,11.6,39.72837393,-104.9803877,0.428323192,1359.247569,0.239672364,29.58,2229499.864,1011.949829,453.8909581,79806464000.0,9.789418697,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Denver; Aurora; Centennial; Edgewater
98,97385,9.3,40.01689251,-105.2539294,0.459259766,46.17005281,0.490397624,49.28,91059.98134,37.11702347,407.610708,3002802688.0,8.074903607,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Boulder
99,100377,8.7,39.72837393,-104.9803877,0.428323192,1359.247569,0.239672364,29.58,2229499.864,1011.949829,453.8909581,79806464000.0,9.789418697,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Denver; Aurora; Centennial; Edgewater
100,416427,10.8,38.86368844,-104.7760317,0.375952943,241.0262491,0.075454524,34.17,396290.1245,159.3249207,402.0411078,13621952512.0,10.36757088,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Colorado Springs
101,600158,10.7,39.72837393,-104.9803877,0.428323192,1359.247569,0.239672364,29.58,2229499.864,1011.949829,453.8909581,79806464000.0,9.789418697,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Denver; Aurora; Centennial; Edgewater
102,143986,10.4,40.55305944,-105.0727113,0.4635389,84.99657267,0.472101406,51.36,130166.5482,63.40686798,487.1210681,4589308416.0,7.421238303,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Fort Collins
103,92889,12.2,40.40697815,-104.7192042,0.408868345,64.13746435,0.142526981,24.06,112729.3136,51.4822998,456.6895528,3803223552.0,10.79988694,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Greeley
104,86270,10.5,40.17027699,-105.1125325,0.424916241,52.09288621,0.220483945,34.88,81494.56818,40.40180969,495.7607678,2506778112.0,8.074903607,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Longmont
105,66859,10.6,40.41008711,-105.0846459,0.434620626,53.49816652,0.190151714,32.44,64752.37323,36.48200989,563.408074,2208120576.0,8.074903607,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Loveland
106,106595,12.8,38.26208545,-104.6197,0.339437045,85.5850755,0.061171849,22.81,100512.2814,66.37648773,660.3818637,3335573760.0,11.93449473,CO,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Pueblo
